target_id,condition,history_count,prompt_tokens,context_fit
6362:1,raw_k3_with_rubric,3,4222,True
6674:2,k0_with_rubric,0,861,True
6674:2,raw_k3_with_rubric,3,2663,True
6685:1,k0_with_rubric,0,834,True
6685:1,raw_k3_with_rubric,3,2999,True
6829:1,k0_with_rubric,0,991,True
6829:1,raw_k3_with_rubric,3,2268,True
6856:1,k0_with_rubric,0,704,True
6856:1,raw_k3_with_rubric,3,2006,True
6955:2,k0_with_rubric,0,1503,True
6955:2,raw_k3_with_rubric,3,3017,True
7013:1,k0_with_rubric,0,1176,True
7013:1,raw_k3_with_rubric,3,2840,True
704:2,k0_with_rubric,0,1039,True
704:2,raw_k3_with_rubric,3,2598,True
716:1,k0_with_rubric,0,872,True
716:1,raw_k3_with_rubric,3,2435,True
7183:2,k0_with_rubric,0,902,True
7183:2,raw_k3_with_rubric,3,2177,True
7237:2,k0_with_rubric,0,853,True
7237:2,raw_k3_with_rubric,3,2167,True
7433:1,k0_with_rubric,0,581,True
7433:1,raw_k3_with_rubric,3,2397,True
7584:2,k0_with_rubric,0,738,True
7584:2,raw_k3_with_rubric,3,3108,True
7601:2,k0_with_rubric,0,1399,True
7601:2,raw_k3_with_rubric,3,2445,True
7630:2,k0_with_rubric,0,981,True
7630:2,raw_k3_with_rubric,3,2190,True
7793:1,k0_with_rubric,0,1061,True
7793:1,raw_k3_with_rubric,3,2824,True
7907:2,k0_with_rubric,0,980,True
7907:2,raw_k3_with_rubric,3,2240,True
8005:1,k0_with_rubric,0,782,True
8005:1,raw_k3_with_rubric,3,2803,True
8079:2,k0_with_rubric,0,920,True
8079:2,raw_k3_with_rubric,3,1607,True
8197:2,k0_with_rubric,0,855,True
8197:2,raw_k3_with_rubric,3,2120,True
8415:1,k0_with_rubric,0,1165,True
8415:1,raw_k3_with_rubric,3,2646,True
8443:2,k0_with_rubric,0,748,True
8443:2,raw_k3_with_rubric,3,2232,True
8521:2,k0_with_rubric,0,1091,True
8521:2,raw_k3_with_rubric,3,2603,True
8580:2,k0_with_rubric,0,1162,True
8580:2,raw_k3_with_rubric,3,2684,True
8632:2,k0_with_rubric,0,1340,True
8632:2,raw_k3_with_rubric,3,3027,True
8656:1,k0_with_rubric,0,623,True
8656:1,raw_k3_with_rubric,3,1995,True
8656:2,k0_with_rubric,0,623,True
8656:2,raw_k3_with_rubric,3,2252,True
8669:1,k0_with_rubric,0,620,True
8669:1,raw_k3_with_rubric,3,2934,True
8771:2,k0_with_rubric,0,868,True
8771:2,raw_k3_with_rubric,3,2582,True
8877:1,k0_with_rubric,0,811,True
8877:1,raw_k3_with_rubric,3,2525,True
894:1,k0_with_rubric,0,899,True
894:1,raw_k3_with_rubric,3,2844,True
