target_id,rater_id,K,history_count,history_ids,prompt_tokens,context_fit,target_leaked,prompt_language
7630:2,rater_10,0,0,,756,True,False,en
7630:2,rater_10,3,3,4545:1|4229:2|7569:2,1965,True,False,en
7793:1,rater_3,0,0,,836,True,False,en
7793:1,rater_3,3,3,151:2|7846:2|5811:2,2599,True,False,en
7907:2,rater_6,0,0,,755,True,False,en
7907:2,rater_6,3,3,8319:1|8024:1|3621:1,2015,True,False,en
8005:1,rater_6,0,0,,557,True,False,en
8005:1,rater_6,3,3,3558:1|8305:1|8097:1,2578,True,False,en
8079:2,rater_1,0,0,,695,True,False,en
8079:2,rater_1,3,3,12:1|121:2|41:1,1382,True,False,en
8197:2,rater_2,0,0,,630,True,False,en
8197:2,rater_2,3,3,189:2|8568:2|2121:2,1895,True,False,en
8415:1,rater_7,0,0,,940,True,False,en
8415:1,rater_7,3,3,875:1|240:1|501:2,2421,True,False,en
8443:2,rater_2,0,0,,523,True,False,en
8443:2,rater_2,3,3,8454:2|744:1|38:2,2007,True,False,en
8521:2,rater_2,0,0,,866,True,False,en
8521:2,rater_2,3,3,7658:2|7811:2|6348:2,2378,True,False,en
8580:2,rater_21,0,0,,937,True,False,en
8580:2,rater_21,3,3,6001:1|1945:2|1760:2,2459,True,False,en
8632:2,rater_23,0,0,,1115,True,False,en
8632:2,rater_23,3,3,1395:1|7652:1|7612:1,2802,True,False,en
8656:1,rater_7,0,0,,398,True,False,en
8656:1,rater_7,3,3,2125:1|1957:1|436:2,1770,True,False,en
8656:2,rater_4,0,0,,398,True,False,en
8656:2,rater_4,3,3,7812:1|1514:2|3156:1,2027,True,False,en
8669:1,rater_7,0,0,,395,True,False,en
8669:1,rater_7,3,3,6269:1|8480:1|8573:1,2709,True,False,en
8771:2,rater_11,0,0,,643,True,False,en
8771:2,rater_11,3,3,828:2|5435:2|8755:2,2357,True,False,en
8877:1,rater_9,0,0,,586,True,False,en
8877:1,rater_9,3,3,5432:1|3459:2|5056:1,2300,True,False,en
894:1,rater_19,0,0,,674,True,False,en
894:1,rater_19,3,3,6071:1|7440:1|6115:1,2619,True,False,en
