target_id,condition,history_count,prompt_tokens,context_fit
4576:2,correct_k3_full_rubric,3,3253,True
4701:1,k0_full_rubric,0,1853,True
4701:1,correct_k3_full_rubric,3,3113,True
4718:2,k0_full_rubric,0,1901,True
4718:2,correct_k3_full_rubric,3,3157,True
475:2,k0_full_rubric,0,1949,True
475:2,correct_k3_full_rubric,3,3549,True
4825:2,k0_full_rubric,0,1923,True
4825:2,correct_k3_full_rubric,3,3747,True
4848:1,k0_full_rubric,0,1861,True
4848:1,correct_k3_full_rubric,3,3747,True
4869:1,k0_full_rubric,0,2103,True
4869:1,correct_k3_full_rubric,3,3399,True
5213:2,k0_full_rubric,0,1689,True
5213:2,correct_k3_full_rubric,3,3613,True
5293:1,k0_full_rubric,0,1882,True
5293:1,correct_k3_full_rubric,3,3923,True
5374:1,k0_full_rubric,0,2472,True
5374:1,correct_k3_full_rubric,3,4058,True
542:2,k0_full_rubric,0,1642,True
542:2,correct_k3_full_rubric,3,3272,True
5498:1,k0_full_rubric,0,1927,True
5498:1,correct_k3_full_rubric,3,3927,True
5577:2,k0_full_rubric,0,2039,True
5577:2,correct_k3_full_rubric,3,4087,True
5680:1,k0_full_rubric,0,1799,True
5680:1,correct_k3_full_rubric,3,3396,True
5715:1,k0_full_rubric,0,2126,True
5715:1,correct_k3_full_rubric,3,3613,True
5724:1,k0_full_rubric,0,2087,True
5724:1,correct_k3_full_rubric,3,3416,True
5726:2,k0_full_rubric,0,1796,True
5726:2,correct_k3_full_rubric,3,3064,True
5811:1,k0_full_rubric,0,2775,True
5811:1,correct_k3_full_rubric,3,3771,True
5846:2,k0_full_rubric,0,1960,True
5846:2,correct_k3_full_rubric,3,4081,True
5854:2,k0_full_rubric,0,1929,True
5854:2,correct_k3_full_rubric,3,3355,True
5965:1,k0_full_rubric,0,1813,True
5965:1,correct_k3_full_rubric,3,3818,True
6007:2,k0_full_rubric,0,2068,True
6007:2,correct_k3_full_rubric,3,3717,True
6121:2,k0_full_rubric,0,2002,True
6121:2,correct_k3_full_rubric,3,4011,True
6215:2,k0_full_rubric,0,1924,True
6215:2,correct_k3_full_rubric,3,3804,True
6298:2,k0_full_rubric,0,2522,True
6298:2,correct_k3_full_rubric,3,3939,True
6343:1,k0_full_rubric,0,1990,True
6343:1,correct_k3_full_rubric,3,3761,True
6362:1,k0_full_rubric,0,2691,True
6362:1,correct_k3_full_rubric,3,5189,True
6674:2,k0_full_rubric,0,1828,True
6674:2,correct_k3_full_rubric,3,3630,True
6685:1,k0_full_rubric,0,1801,True
6685:1,correct_k3_full_rubric,3,3966,True
6829:1,k0_full_rubric,0,1958,True
6829:1,correct_k3_full_rubric,3,3235,True
6856:1,k0_full_rubric,0,1671,True
6856:1,correct_k3_full_rubric,3,2973,True
6955:2,k0_full_rubric,0,2470,True
6955:2,correct_k3_full_rubric,3,3984,True
7013:1,k0_full_rubric,0,2143,True
7013:1,correct_k3_full_rubric,3,3807,True
704:2,k0_full_rubric,0,2006,True
704:2,correct_k3_full_rubric,3,3565,True
716:1,k0_full_rubric,0,1839,True
716:1,correct_k3_full_rubric,3,3402,True
7183:2,k0_full_rubric,0,1869,True
7183:2,correct_k3_full_rubric,3,3144,True
7237:2,k0_full_rubric,0,1820,True
7237:2,correct_k3_full_rubric,3,3134,True
7433:1,k0_full_rubric,0,1548,True
7433:1,correct_k3_full_rubric,3,3364,True
7584:2,k0_full_rubric,0,1705,True
7584:2,correct_k3_full_rubric,3,4075,True
7601:2,k0_full_rubric,0,2366,True
7601:2,correct_k3_full_rubric,3,3412,True
7630:2,k0_full_rubric,0,1948,True
7630:2,correct_k3_full_rubric,3,3157,True
7793:1,k0_full_rubric,0,2028,True
7793:1,correct_k3_full_rubric,3,3791,True
7907:2,k0_full_rubric,0,1947,True
7907:2,correct_k3_full_rubric,3,3207,True
8005:1,k0_full_rubric,0,1749,True
8005:1,correct_k3_full_rubric,3,3770,True
8079:2,k0_full_rubric,0,1887,True
8079:2,correct_k3_full_rubric,3,2574,True
8197:2,k0_full_rubric,0,1822,True
8197:2,correct_k3_full_rubric,3,3087,True
8415:1,k0_full_rubric,0,2132,True
8415:1,correct_k3_full_rubric,3,3613,True
8443:2,k0_full_rubric,0,1715,True
8443:2,correct_k3_full_rubric,3,3199,True
8521:2,k0_full_rubric,0,2058,True
8521:2,correct_k3_full_rubric,3,3570,True
8580:2,k0_full_rubric,0,2129,True
8580:2,correct_k3_full_rubric,3,3651,True
8632:2,k0_full_rubric,0,2307,True
8632:2,correct_k3_full_rubric,3,3994,True
8656:1,k0_full_rubric,0,1590,True
8656:1,correct_k3_full_rubric,3,2962,True
8656:2,k0_full_rubric,0,1590,True
8656:2,correct_k3_full_rubric,3,3219,True
8669:1,k0_full_rubric,0,1587,True
8669:1,correct_k3_full_rubric,3,3901,True
8771:2,k0_full_rubric,0,1835,True
8771:2,correct_k3_full_rubric,3,3549,True
8877:1,k0_full_rubric,0,1778,True
8877:1,correct_k3_full_rubric,3,3492,True
894:1,k0_full_rubric,0,1866,True
894:1,correct_k3_full_rubric,3,3811,True
